id	author	title	score
uc1.31822008938284	['Boston Society of Natural History.']	['Occasional papers of the Boston Society of Natural History']	1035.406 
uc1.31822011396918	['Field Museum of Natural History', 'Cory, Charles B. (Charles Barney), 1857-1921', 'Conover, Boardman', 'Hellmayr, C. E. (Carl Eduard)']	['Catalogue of birds of the Americas and the adjacent islands in Field Museum of Natural History : including all species and subspecies known to occur in North America, Mexico, Central America, South America, the West Indies, and islands of the Caribbean Sea, the Galapagos Archipelago, and other islands which may properly be included on account of their faunal affinities']	505.42786 
umn.31951002180762s	['Allen, Emory Adams, 1853-']	['History of civilization']	279.7451 
hvd.hxkw99	['Grote, George, 1794-1871.']	['A history of Greece']	279.7451 
mdp.39015058532055	['Rusden, George William, 1819-1903.']	['History of New Zealand']	279.7451 
nyp.33433044610198	['Marriott, J. A. R. (John Arthur Ransome), Sir, 1859-1945.']	['English history in Shakspeare']	279.7451 
mdp.39015016763404	['Stott, William Taylor, 1836-1918.']	['Indiana Baptist history, 1798-1908']	263.27606 
mdp.39015013185692	['Clifford, Derek Plint.']	['A history of garden design']	263.27606 
umn.31951002310772h	['International Congress for Logic, Methodology, and Philosophy of Science (1st : 1960 : Stanford, Calif.)', 'Nagel, Ernest, 1901-1985.', 'National Academy of Sciences (U.S.)', 'International Union of the History and Philosophy of Science. Division of Logic, Methodology and Philosophy of Science.']	['Logic, methodology, and philosophy of science : proceedings']	252.48416 
nyp.33433071394419	['Goodrich, Samuel G. (Samuel Griswold), 1793-1860.']	['The third book of history, containing ancient history in connection with ancient geography. Designed as a sequel to The first and Second books of history']	241.65588 
nyp.33433081792248		['American history leaflets, colonial and constitutional']	241.38138 
umn.31951002035323u	['Fergusson, James, 1808-1886.']	['History of the modern styles of architecture']	241.38138 
nyp.33433081559712	['Levien, Edward.']	['Outlines of the history of Rome']	241.38138 
umn.31951002077094l	['Richardson, Samuel, 1689-1761.', 'Phelps, William Lyon, 1865-1943.']	['The history of Sir Charles Grandison']	241.38138 
nnc1.cu54287316	['Western Historical Co.']	['The history of Dubuque County, Iowa, containing a history of the county, its cities, towns, &c., biographical sketches of citizens, war record of its volunteers in the late rebellion ... general and local statistics ... history of the Northwest, history of Iowa ...']	236.85811 
